what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1540387621719
locale,sysinfo,,,"en_US",1540387621719
processors,sysinfo,,,"4",1540387621719
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1540387621719
java.runtime.version,sysinfo,,,"1.6.0_11-b03",1540387621719
java.specification.name,sysinfo,,,"Java Platform API Specification",1540387621719
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1540387621719
java.specification.version,sysinfo,,,"1.6",1540387621719
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1540387621719
java.version,sysinfo,,,"1.6.0_11",1540387621719
java.vm.info,sysinfo,,,"mixed mode",1540387621719
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1540387621719
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1540387621719
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1540387621719
java.vm.specification.version,sysinfo,,,"1.0",1540387621719
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1540387621719
java.vm.version,sysinfo,,,"11.0-b16",1540387621719
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1540387621809
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1540387621819
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1540387621919
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1540387621939
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1540387622049
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1540387622889
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1540387623059
